Topic,Category,Department,Question,URLname,Answer,Service Type ID,Title,Summary,Visible to Customer,Visible in public Knowledge Base,Visible to Partner
Aggressive Dogs,Animal_Services,Animal Services,What is considered an aggressive dog and what can be done about it?,What-is-considered-an-aggressive-dog-and-what-can-be-done-about-it,"The definition of a vicious animal by the guidelines of the City of Fontana is as followed: A Vicious dog shall mean any dog which constitutes a physical threat to a human being or any other domestic animal by virtue of a known propensity to endanger life by an unprovoked assault or bite so as to cause serious bodily harm.

An Animal Services Officer shall determine whether or not such dog(s) is vicious by:

Whether or not the dog has bitten or scratched other persons or domestic animal.

Depending on the circumstances surrounding the dog(s) aggressive behavior and the history and temperament will determine action taken by the animal services officer. If said circumstance meet this above criteria contact Fontana Police Department dispatch at (909) 350-7700 so an Officer can be dispatched to address the situation.",NA,What is considered an aggressive dog and what can be done about it?,"The definition of a vicious animal by the guidelines of the City of Fontana is as followed: A Vicious dog shall mean any dog which constitutes a physical threat to a human being or any other domestic animal by virtue of a known propensity to endanger life by an unprovoked assault or bite so as to cause serious bodily harm.

An Animal Services Officer shall determine whether or not such dog(s) is vicious by:

Whether or not the dog has bitten or scratched other persons or domestic animal.

Depending on the circumstances surrounding the dog(s) aggressive behavior and the history and temperament will determine action taken by the animal services officer. If said circumstance meet this above criteria contact Fontana Police Department dispatch at (909) 350-7700 so an Officer can be dispatched to address the situation.",TRUE,TRUE,TRUE
Animal Bites,Animal_Services,Animal Services,I was bitten by an animal. What should I do?,I-was-bitten-by-an-animal--What-should-I-do,"You should immediately try and get to a safe location, at which point call Fontana Police Department dispatch at (909) 350-7700. Once in a safe location you will need to provide Fontana P.D. dispatchers with the following information:
P.D. dispatchers with the following information:

Â· Animal type
Â· Animal description (size, color and any other distinguishing features)
Â· Last known location of animal
Â· Location of incident

",NA,I was bitten by an animal. What should I do?,"You should immediately try and get to a safe location, at which point call Fontana Police Department dispatch at (909) 350-7700. Once in a safe location you will need to provide Fontana P.D. dispatchers with the following information:
P.D. dispatchers with the following information:

Â· Animal type
Â· Animal description (size, color and any other distinguishing features)
Â· Last known location of animal
Â· Location of incident

",TRUE,TRUE,TRUE
Animal Cruelty,Animal_Services,Animal Services,How can I report suspected animal cruelty?,How-can-I-report-suspected-animal-cruelty,"To report animal cruelty please call Fontana Police Department dispatch at (909) 350-7700, so an Animal Services Officer can investigate the suspected animal cruelty.",NA,How can I report suspected animal cruelty?,"To report animal cruelty please call Fontana Police Department dispatch at (909) 350-7700, so an Animal Services Officer can investigate the suspected animal cruelty.",TRUE,TRUE,TRUE
Animal Defecation,Animal_Services,Animal Services,Can I report a neighbor who allows their animal to defecate on my property?,Can-I-report-a-neighbor-who-allows-their-animal-to-defecate-on-my-property,"A person having custody of any dog shall not permit, either willfully or through failure to exercise due care or control, any such dog to defecate or urinate upon a public sidewalk, the floor of any common hall in any apartment house, hotel or other multiple dwelling; upon any entranceway, stairway, or wall immediately abutting on a public sidewalk; or upon the floor of any theatre, shop, store, office building, or other building used by the public. Fontana Animal Services will not respond for a complaint of an animal defecating or urinating in a private area.",NA,Can I report a neighbor who allows their animal to defecate on my property?,"A person having custody of any dog shall not permit, either willfully or through failure to exercise due care or control, any such dog to defecate or urinate upon a public sidewalk, the floor of any common hall in any apartment house, hotel or other multiple dwelling; upon any entranceway, stairway, or wall immediately abutting on a public sidewalk; or upon the floor of any theatre, shop, store, office building, or other building used by the public. Fontana Animal Services will not respond for a complaint of an animal defecating or urinating in a private area.",TRUE,TRUE,TRUE
Animal Licenses,Animal_Services,Animal Services,How do I obtain a new dog license or renew an existing one and what are the fees?,How-do-I-obtain-a-new-dog-license-or-renew-an-existing-one-and-what-are-the-fees,"Fontana City Hall issues the dog licenses in person or online. Residents must license their dog(s) within 30 days of moving into the City of Fontana or within 30 days of acquiring a dog(s) that is/are four months of age or older. Failure to do so will result in penalty fees in addition to the license fees and citation. Please do not bring your pets to City Hall. It is not necessary for City staff to see the animal being licensed.

The documents needed to apply for a new license or renew a license are:
Animal's current rabies certificate (required)
Spay / Neuter certificate (if applicable)
Copy of Driver's License for Senior Citizen rates (if applicable)

Fees:
Type Of License One Year Two Years Three Years
Unaltered Dog $75 $150 $220
Spayed / Neutered Dog $20 $30 $40
Senior Citizen Rate* $10 $15 $20
* Dog owner must be 60 years old or older and the dog must be spayed or neutered.
Additional Fees:
Tag Replacement - $5
Transfer Fee - $5
Penalty $20 
Inquiries can be submitted via email at doglicensing@fontana.org

How To Obtain Licenses
Fontana City Hall
8353 Sierra Ave
Fontana CA 92335
Monday through Thursday
8:00 a.m. - 5:00 p.m.

Documents or inquiries can be submitted via email at doglicensing@fontana.org New Dog License Application: https://fontanaca.seamlessdocs.com/f/doglicenseapplication Dog License Renewal Application: https://fontanaca.seamlessdocs.com/f/doglicenserenewal
(For renewing an existing license)

For further questions, contact: (909) 350-7681.",NA,How do I obtain a new dog license or renew an existing one and what are the fees?,"Fontana City Hall issues the dog licenses in person or online. Residents must license their dog(s) within 30 days of moving into the City of Fontana or within 30 days of acquiring a dog(s) that is/are four months of age or older. Failure to do so will result in penalty fees in addition to the license fees and citation. Please do not bring your pets to City Hall. It is not necessary for City staff to see the animal being licensed.

The documents needed to apply for a new license or renew a license are:
Animal's current rabies certificate (required)
Spay / Neuter certificate (if applicable)
Copy of Driver's License for Senior Citizen rates (if applicable)

Fees:
Type Of License One Year Two Years Three Years
Unaltered Dog $75 $150 $220
Spayed / Neutered Dog $20 $30 $40
Senior Citizen Rate* $10 $15 $20
* Dog owner must be 60 years old or older and the dog must be spayed or neutered.
Additional Fees:
Tag Replacement - $5
Transfer Fee - $5
Penalty $20 
Inquiries can be submitted via email at doglicensing@fontana.org

How To Obtain Licenses
Fontana City Hall
8353 Sierra Ave
Fontana CA 92335
Monday through Thursday
8:00 a.m. - 5:00 p.m.

Documents or inquiries can be submitted via email at doglicensing@fontana.org New Dog License Application: https://fontanaca.seamlessdocs.com/f/doglicenseapplication Dog License Renewal Application: https://fontanaca.seamlessdocs.com/f/doglicenserenewal
(For renewing an existing license)

For further questions, contact: (909) 350-7681.",TRUE,TRUE,TRUE
Animal Licenses,Animal_Services,Animal Services,Can I receive a citation for failing toÂ license my pet?,Can-I-receive-a-citation-for-failing-toÂ license-my-pet,"Yes, failure to license your dog within 30 days of moving into the City of Fontana or within 30 days of acquiring a dog(s) that is/are four months of age or older can result in a citation.",NA,Can I receive a citation for failing toÂ license my pet?,"Yes, failure to license your dog within 30 days of moving into the City of Fontana or within 30 days of acquiring a dog(s) that is/are four months of age or older can result in a citation.",TRUE,TRUE,TRUE
Animal Services,Animal_Services,Animal Services,What does an Animal Services Officer do?,What-does-an-Animal-Services-Officer-do,"
Animal Services Officers are employed through the Fontana Police department, and much like police officer they all work year around including all holidays. After normal business hours there is always an Animal Service Officer that is on call every night.

Call Response type:
Â· Stray dogs
Â· Deceased animals
Â· Injured animals
Â· Injured wildlife
Â· Animal Cruelty / Animal Neglect Investigations
Â· Animal bites
Â· Aggressive Animals
Â· Public Nuisance / Barking
Â· Animal Traffic hazards on city roadways",NA,What does an Animal Services Officer do?,"
Animal Services Officers are employed through the Fontana Police department, and much like police officer they all work year around including all holidays. After normal business hours there is always an Animal Service Officer that is on call every night.

Call Response type:
Â· Stray dogs
Â· Deceased animals
Â· Injured animals
Â· Injured wildlife
Â· Animal Cruelty / Animal Neglect Investigations
Â· Animal bites
Â· Aggressive Animals
Â· Public Nuisance / Barking
Â· Animal Traffic hazards on city roadways",TRUE,TRUE,TRUE
Animal Tethered,Animal_Services,Animal Services,How long can an animal be tethered?,How-long-can-an-animal-be-tethered,"Within the City of Fontana limits, it is not permissible to tether an animal (on a leash, attached to a fixed object) for longer than a total of 3 hours in a 24-hour period.

Exceptions are made for animals tethered to a trolly / pully system.

To report an animal being tethered excessively, please submit a request [link].",ASTETHPET,How long can an animal be tethered?,"Within the City of Fontana limits, it is not permissible to tether an animal (on a leash, attached to a fixed object) for longer than a total of 3 hours in a 24-hour period.

Exceptions are made for animals tethered to a trolly / pully system.

To report an animal being tethered excessively, please submit a request [link].",TRUE,TRUE,TRUE
Athletic field reservations,Recreation,Recreation,How can I reserve an athletic field?,How-can-I-reserve-an-athletic-field,"All Athletic Field rentals (baseball, soccer, tennis fields, etc.) can be requested at the Miller Fitness center. Please call (909) 349-6972 for more information.",NA,How can I reserve an athletic field?,"All Athletic Field rentals (baseball, soccer, tennis fields, etc.) can be requested at the Miller Fitness center. Please call (909) 349-6972 for more information.",TRUE,TRUE,TRUE
Athletic field reservations,Recreation,Recreation,Who do I contact if someone is using my reserved park shelter when I arrive?,Who-do-I-contact-if-someone-is-using-my-reserved-park-shelter-when-I-arrive,You can contact the Athletic Field Monitors at (909) 202-1641 who are available to assist you with any shelter issues or accommodations.,NA,Who do I contact if someone is using my reserved park shelter when I arrive?,You can contact the Athletic Field Monitors at (909) 202-1641 who are available to assist you with any shelter issues or accommodations.,TRUE,TRUE,TRUE
